Adapter,Driver,Adapter-Driver,Good Sum,Critical Sum,Warning Sum,Client Count,Total Sum,Good Roaming Calculation (%)
Intel(R) Dual Band Wireless-AC 8260,20.70.12.5,Intel(R) Dual Band Wireless-AC 8260 - 20.70.12.5,2860,7,0,2,2867,99.8%
Intel(R) Wi-Fi 6 AX201 160MHz,23.160.0.4,Intel(R) Wi-Fi 6 AX201 160MHz - 23.160.0.4,1645,3,0,2,1648,99.8%
Intel(R) Wi-Fi 6 AX201 160MHz #3,22.250.1.2,Intel(R) Wi-Fi 6 AX201 160MHz #3 - 22.250.1.2,2143,5,0,3,2148,99.8%
Intel(R) Wi-Fi 6E AX211 160MHz,22.230.0.8,Intel(R) Wi-Fi 6E AX211 160MHz - 22.230.0.8,13280,30,0,46,13310,99.8%
Qualcomm QCA61x4A 802.11ac Wireless Adapter,12.0.0.1272,Qualcomm QCA61x4A 802.11ac Wireless Adapter - 12.0.0.1272,9733,19,0,12,9752,99.8%
Intel(R) Dual Band Wireless-AC 8265,20.70.21.2,Intel(R) Dual Band Wireless-AC 8265 - 20.70.21.2,9736,16,0,12,9752,99.8%
Intel(R) Wi-Fi 6 AX201 160MHz,22.140.0.3,Intel(R) Wi-Fi 6 AX201 160MHz - 22.140.0.3,2851,5,0,4,2856,99.8%
Intel(R) Wi-Fi 6 AX201 160MHz,22.150.0.3,Intel(R) Wi-Fi 6 AX201 160MHz - 22.150.0.3,40520,92,0,58,40612,99.8%
Qualcomm FastConnect 6900 Wi-Fi 6E Dual Band Simultaneous (DBS) WiFiCx Network Adapter,2.0.0.1229,Qualcomm FastConnect 6900 Wi-Fi 6E Dual Band Simultaneous (DBS) WiFiCx Network Adapter - 2.0.0.1229,1890,3,0,5,1893,99.8%
Intel(R) Wi-Fi 7 BE201 320MHz,23.140.2.1,Intel(R) Wi-Fi 7 BE201 320MHz - 23.140.2.1,44852,70,0,127,44922,99.8%
Intel(R) Wi-Fi 6 AX201 160MHz,22.160.0.3,Intel(R) Wi-Fi 6 AX201 160MHz - 22.160.0.3,2418,6,0,5,2424,99.8%
Intel(R) Wi-Fi 6E AX211 160MHz,22.130.0.5,Intel(R) Wi-Fi 6E AX211 160MHz - 22.130.0.5,11869,20,0,19,11889,99.8%
Realtek RTL8811AU Wireless LAN 802.11ac USB 2.0 Network Adapter,1030.38.712.2019,Realtek RTL8811AU Wireless LAN 802.11ac USB 2.0 Network Adapter - 1030.38.712.2019,2594,4,0,2,2598,99.8%
Intel(R) Wi-Fi 6 AX200 160MHz,22.250.1.2,Intel(R) Wi-Fi 6 AX200 160MHz - 22.250.1.2,8281,17,0,12,8298,99.8%
Intel(R) Wireless-AC 9560 160MHz,22.30.0.11,Intel(R) Wireless-AC 9560 160MHz - 22.30.0.11,4336,8,0,3,4344,99.8%
Intel(R) Wi-Fi 6E AX210 160MHz,23.150.0.4,Intel(R) Wi-Fi 6E AX210 160MHz - 23.150.0.4,16084,33,0,15,16117,99.8%
Intel(R) Wi-Fi 6 AX201 160MHz,23.60.0.10,Intel(R) Wi-Fi 6 AX201 160MHz - 23.60.0.10,18973,60,0,30,19033,99.7%
Intel(R) Wi-Fi 6E AX211 160MHz,22.250.1.2,Intel(R) Wi-Fi 6E AX211 160MHz - 22.250.1.2,1412,4,0,4,1416,99.7%
Intel(R) Wi-Fi 6 AX201 160MHz,22.190.0.4,Intel(R) Wi-Fi 6 AX201 160MHz - 22.190.0.4,17828,58,0,15,17886,99.7%
Intel(R) Wi-Fi 6 AX201 160MHz,23.80.0.7,Intel(R) Wi-Fi 6 AX201 160MHz - 23.80.0.7,7538,22,0,9,7560,99.7%
Intel(R) Wi-Fi 6 AX201 160MHz,22.170.2.1,Intel(R) Wi-Fi 6 AX201 160MHz - 22.170.2.1,22447,57,0,62,22504,99.7%
Intel(R) Wi-Fi 6 AX200 160MHz,23.110.0.5,Intel(R) Wi-Fi 6 AX200 160MHz - 23.110.0.5,114579,347,0,85,114926,99.7%
Intel(R) Wi-Fi 6E AX211 160MHz,23.160.0.4,Intel(R) Wi-Fi 6E AX211 160MHz - 23.160.0.4,16559,46,0,25,16605,99.7%
Intel(R) Wireless-AC 9560 160MHz,23.60.1.2,Intel(R) Wireless-AC 9560 160MHz - 23.60.1.2,131537,330,0,98,131867,99.7%
Intel(R) Wi-Fi 7 BE200 320MHz,23.60.1.2,Intel(R) Wi-Fi 7 BE200 320MHz - 23.60.1.2,2696,7,0,4,2703,99.7%
Intel(R) Wi-Fi 7 BE200 320MHz,23.90.0.2,Intel(R) Wi-Fi 7 BE200 320MHz - 23.90.0.2,1621,5,0,6,1626,99.7%
Intel(R) Wi-Fi 7 BE201 320MHz,23.150.0.4,Intel(R) Wi-Fi 7 BE201 320MHz - 23.150.0.4,5004,16,0,6,5020,99.7%
Intel(R) Wireless-AC 9560 160MHz,22.250.1.2,Intel(R) Wireless-AC 9560 160MHz - 22.250.1.2,7872,20,0,8,7892,99.7%
Intel(R) Wireless-AC 9560 160MHz,23.30.0.6,Intel(R) Wireless-AC 9560 160MHz - 23.30.0.6,2698,8,0,5,2706,99.7%
Intel(R) Dual Band Wireless-AC 8265 #3,20.70.30.1,Intel(R) Dual Band Wireless-AC 8265 #3 - 20.70.30.1,3104,9,0,9,3113,99.7%
Intel(R) Wi-Fi 7 BE200 320MHz,23.150.0.4,Intel(R) Wi-Fi 7 BE200 320MHz - 23.150.0.4,5157,14,0,6,5171,99.7%
Realtek RTL8852BE WiFi 6 802.11ax PCIe Adapter,6001.15.123.320,Realtek RTL8852BE WiFi 6 802.11ax PCIe Adapter - 6001.15.123.320,1432,4,0,1,1436,99.7%
Intel(R) Wi-Fi 6 AX201 160MHz,22.250.0.4,Intel(R) Wi-Fi 6 AX201 160MHz - 22.250.0.4,6586,27,0,8,6613,99.6%
Intel(R) Dual Band Wireless-AC 8265,20.70.19.1,Intel(R) Dual Band Wireless-AC 8265 - 20.70.19.1,1426,6,0,1,1432,99.6%
Intel(R) Wi-Fi 6 AX201 160MHz #4,23.110.0.5,Intel(R) Wi-Fi 6 AX201 160MHz #4 - 23.110.0.5,4081,16,0,15,4097,99.6%
Intel(R) Dual Band Wireless-AC 8260,20.70.2.1,Intel(R) Dual Band Wireless-AC 8260 - 20.70.2.1,1434,6,0,1,1440,99.6%
Intel(R) Wireless-AC 9560 160MHz,22.120.0.3,Intel(R) Wireless-AC 9560 160MHz - 22.120.0.3,263,1,0,1,264,99.6%
Intel(R) Wi-Fi 6 AX201 160MHz,23.110.0.5,Intel(R) Wi-Fi 6 AX201 160MHz - 23.110.0.5,923536,3622,0,854,927158,99.6%
Intel(R) Wi-Fi 7 BE201 320MHz,23.120.0.3,Intel(R) Wi-Fi 7 BE201 320MHz - 23.120.0.3,1819,8,0,2,1827,99.6%
